"A Ashish Reddy","266"
"A Chandila","4"
"A Chopra","53"
"A Kumble","35"
"A Mishra","291"
"A Mithun","34"
"A Mukund","19"
"A Nehra","41"
"A Singh","2"
"A Uniyal","4"
"AA Bilakhia","69"
"AA Chavan","12"
"AA Jhunjhunwala","217"
"AB Agarkar","178"
"AB Barath","42"
"AB Dinda","19"
"AD Nath","20"
"AG Murtaza","10"
"AG Paunikar","49"
"AL Menaria","401"
"AM Nayar","672"
"AM Rahane","2529"
"AN Ahmed","36"
"AN Ghosh","7"
"Anirudh Singh","63"
"Ankit Sharma","62"
"Anureet Singh","18"
"AP Dole","34"
"AP Majumdar","87"
"AP Tare","321"
"AR Patel","367"
"AS Rajpoot","2"
"AS Raut","173"
"AT Rayudu","2325"
"AUK Pathan","39"
"B Akhil","76"
"B Chipli","280"
"B Kumar","154"
"B Sumanth","35"
"BA Bhatt","6"
"BB Samantray","125"
"BB Sran","4"
"Bipul Sharma","156"
"C Madan","15"
"C Nanda","0"
"CA Pujara","390"
"CM Gautam","169"
"D Kalyankrishna","3"
"D Salunkhe","33"
"DB Das","304"
"DB Ravi Teja","375"
"DH Yagnik","170"
"DJ Hooda","276"
"DJ Muthuswami","1"
"DP Vijaykumar","1"
"DS Kulkarni","89"
"DT Patil","13"
"ER Dwivedi","24"
"FY Fazal","183"
"G Gambhir","3589"
"GH Vihari","236"
"Gurkeerat Singh","342"
"H Das","2"
"Harbhajan Singh","783"
"Harmeet Singh","18"
"Harpreet Singh","20"
"HH Pandya","156"
"HV Patel","41"
"I Malhotra","7"
"I Sharma","36"
"IC Pandey","0"
"IK Pathan","1079"
"Imran Tahir","18"
"Iqbal Abdulla","83"
"IR Jaggi","43"
"Ishan Kishan","42"
"J Arunkumar","23"
"J Suchith","48"
"J Syed Mohammad","28"
"J Yadav","6"
"Jaskaran Singh","8"
"JD Unadkat","2"
"JJ Bumrah","9"
"Joginder Sharma","36"
"K Goel","218"
"K Upadhyay","12"
"Kamran Khan","3"
"Karanveer Singh","12"
"KB Arun Karthik","46"
"KC Cariappa","13"
"KD Karthik","2515"
"KH Pandya","237"
"KK Nair","842"
"KL Rahul","713"
"KM Jadhav","597"
"KP Appanna","2"
"KV Sharma","268"
"L Ablish","0"
"L Balaji","36"
"LR Shukla","386"
"M Ashwin","0"
"M Kaif","245"
"M Kartik","111"
"M Manhas","514"
"M Rawat","55"
"M Vijay","2490"
"M Vohra","728"
"MA Agarwal","781"
"MA Khote","24"
"Mandeep Singh","897"
"MC Juneja","108"
"MD Mishra","237"
"MF Maharoof","177"
"MK Pandey","1800"
"MK Tiwary","1324"
"MM Patel","39"
"MM Sharma","61"
"Mohammed Shami","10"
"MS Bisla","788"
"MS Dhoni","3270"
"MS Gony","97"
"N Rana","104"
"N Saini","140"
"ND Doshi","0"
"NK Patel","121"
"NS Naik","23"
"NV Ojha","1466"
"P Awana","5"
"P Dogra","127"
"P Kumar","332"
"P Negi","209"
"P Parameswaran","1"
"P Sahu","19"
"PA Patel","1868"
"PA Reddy","141"
"Pankaj Singh","7"
"Parvez Rasool","17"
"PC Valthaty","496"
"PJ Sangwan","22"
"PM Sarvesh Kumar","1"
"PP Chawla","505"
"PP Ojha","16"
"PR Shah","92"
"PV Tambe","18"
"R Ashwin","229"
"R Bhatia","326"
"R Bishnoi","19"
"R Dhawan","153"
"R Dravid","2170"
"R Ninan","3"
"R Sathish","270"
"R Sharma","66"
"R Shukla","19"
"R Tewatia","16"
"R Vinay Kumar","296"
"RA Jadeja","1552"
"RG More","2"
"RG Sharma","3874"
"RP Singh","52"
"RR Bhatkal","0"
"RR Pant","198"
"RR Powar","65"
"RR Raje","20"
"RS Gavaskar","2"
"RS Sodhi","4"
"RV Gomez","50"
"RV Uthappa","3390"
"S Anirudha","136"
"S Aravind","27"
"S Badrinath","1439"
"S Dhawan","3082"
"S Gopal","14"
"S Kaul","9"
"S Kaushik","0"
"S Ladda","0"
"S Nadeem","24"
"S Narwal","37"
"S Rana","91"
"S Sohal","368"
"S Sreesanth","34"
"S Sriram","31"
"S Tyagi","3"
"S Vidyut","145"
"SA Asnodkar","423"
"SA Yadav","472"
"Sachin Baby","122"
"Sandeep Sharma","19"
"SB Bangar","47"
"SB Jakati","28"
"SB Joshi","6"
"SB Wagh","2"
"SC Ganguly","1303"
"SD Chitnis","99"
"Shivam Sharma","5"
"SJ Srivastava","5"
"SK Raina","4083"
"SK Trivedi","42"
"SN Khan","132"
"SN Thakur","7"
"SP Goswami","241"
"SPD Smith","1212"
"SR Tendulkar","2329"
"SS Iyer","449"
"SS Shaikh","6"
"SS Tiwary","1205"
"STR Binny","676"
"Sunny Gupta","0"
"Sunny Singh","43"
"SV Samson","1015"
"Swapnil Singh","0"
"T Kohli","11"
"TL Suman","676"
"TM Srivastava","8"
"U Kaul","0"
"UA Birla","7"
"UBT Chand","300"
"UT Yadav","133"
"V Kohli","3987"
"V Pratap Singh","0"
"V Sehwag","2702"
"VH Zol","29"
"VR Aaron","42"
"VRV Singh","4"
"VS Malik","7"
"VS Yeligati","2"
"VVS Laxman","282"
"VY Mahesh","15"
"W Jaffer","130"
"WA Mota","56"
"WP Saha","1304"
"X Thalaivan Sargunam","10"
"Y Gnaneswara Rao","19"
"Y Nagar","285"
"Y Venugopal Rao","985"
"YA Abdulla","0"
"Yashpal Singh","27"
"YK Pathan","2719"
"YS Chahal","2"
"Yuvraj Singh","2281"
"YV Takawale","192"
"Z Khan","113"
